year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
2015,Hyundai,Hyundai Xcent SX 1.2 (O),Xcent,465000,24935,Petrol,Mumbai,14,6,1,0,2.15E-06,4.01E-05,0.166666667,0.071428571,0.130712653,0.013599482,0.059821429,106.340029,0
2016,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1485000,59758,Diesel,Mumbai,1,5,0,0,6.73E-07,1.67E-05,0.2,1,0.037997395,0.005416318,1,205.8059762,0
2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,610000,40119,Petrol,Mumbai,32,4,0,0,1.64E-06,2.49E-05,0.25,0.03125,0.098626647,0.008284678,0.019140625,15.63961426,0
2016,Renault,Renault Pulse RxL Petrol [2015-2017],Pulse,365000,22625,Petrol,Mumbai,15,5,1,0,2.74E-06,4.42E-05,0.2,0.066666667,0.167694161,0.015033236,0.055,138.6542209,0
2017,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,699000,16540,Petrol,Mumbai,32,4,1,1,1.43E-06,6.05E-05,0.25,0.03125,0.085525375,0.020726967,0.019140625,33.93023457,33.93023457
2016,Hyundai,Hyundai Xcent S AT 1.2 (O),Xcent,595000,41280,Petrol,Mumbai,14,5,0,0,1.68E-06,2.42E-05,0.2,0.071428571,0.101220676,0.008039206,0.059821429,48.67872161,0
2016,Toyota,Toyota Corolla Altis VL AT Petrol,Corolla,1035000,97679,Petrol,Mumbai,1,5,0,0,9.66E-07,1.02E-05,0.2,1,0.05637446,0.003141519,1,177.1014433,0
2015,Maruti Suzuki,Maruti Suzuki Swift ZDi,Swift,575000,43000,Diesel,Mumbai,32,6,0,0,1.74E-06,2.33E-05,0.166666667,0.03125,0.104889912,0.007699908,0.019140625,15.45878605,0
2015,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,480000,14846,Petrol,Mumbai,3,6,1,0,2.08E-06,6.74E-05,0.166666667,0.333333333,0.126494449,0.023142589,0.325,951.407937,0
2017,Honda,Honda WR-V VX MT Petrol,WR-V,749000,28771,Petrol,Mumbai,7,4,1,1,1.34E-06,3.48E-05,0.25,0.142857143,0.079531034,0.011727185,0.132142857,123.2463583,123.2463583
2018,Honda,Honda WR-V S MT Petrol,WR-V,749000,33443,Petrol,Mumbai,7,3,0,0,1.34E-06,2.99E-05,0.333333333,0.142857143,0.079531034,0.010026973,0.132142857,105.3780488,0
2010,Maruti Suzuki,Maruti Suzuki Ritz VXI BS-IV,Ritz,265000,24000,Petrol,Mumbai,32,11,1,0,3.77E-06,4.17E-05,0.090909091,0.03125,0.232586243,0.014146563,0.019140625,62.97831993,0
2013,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Grand,340000,44380,Petrol,Mumbai,14,8,0,0,2.94E-06,2.25E-05,0.125,0.071428571,0.180338574,0.007446697,0.059821429,80.33578979,0
2016,Skoda,Skoda Rapid Style 1.5 TDI AT,Rapid,675000,58000,Diesel,Mumbai,27,5,0,0,1.48E-06,1.72E-05,0.2,0.037037037,0.088718095,0.005593923,0.025,12.40705499,0
2016,Honda,Honda City V Diesel,City,685000,69380,Diesel,Mumbai,7,5,0,0,1.46E-06,1.44E-05,0.2,0.142857143,0.087360606,0.004603683,0.132142857,53.14528655,0
2016,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT ABS,Celerio,445000,39500,Petrol,Mumbai,32,5,0,0,2.25E-06,2.53E-05,0.2,0.03125,0.136779282,0.008421453,0.019140625,22.04770758,0
2012,BMW,BMW 3 Series 320d Prestige,3,925000,74460,Diesel,Mumbai,4,9,0,0,1.08E-06,1.34E-05,0.111111111,0.25,0.063586216,0.004259359,0.240625,65.17004491,0
2017,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4550000,42442,Diesel,Mumbai,2,4,0,0,2.20E-07,2.36E-05,0.25,0.5,0.009525061,0.007806969,0.49375,36.71616565,0
2014,Volkswagen,Volkswagen Vento TSI,Vento,485000,65327,Petrol,Mumbai,3,7,0,0,2.06E-06,1.53E-05,0.142857143,0.333333333,0.125146364,0.004916803,0.325,199.978988,0
2016,Honda,Honda Jazz V AT Petrol,Jazz,635000,19768,Petrol,Mumbai,7,5,1,0,1.57E-06,5.06E-05,0.2,0.142857143,0.094575603,0.017269996,0.132142857,215.8316065,0
2016,Tata,Tata Nano Twist XT,Nano,215000,2814,Petrol,Mumbai,40,5,1,0,4.65E-06,0.000355366,0.2,0.025,0.287669056,0.123990004,0.0128125,456.9973697,0
2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000,20100,Petrol,Mumbai,14,6,1,0,2.25E-06,4.98E-05,0.166666667,0.071428571,0.136779282,0.016977419,0.059821429,138.9148796,0
2015,Mercedes-Benz,Mercedes-Benz GLA 200 CDI Sport,GLA,1950000,52717,Diesel,Mumbai,2,6,0,0,5.13E-07,1.90E-05,0.166666667,0.5,0.027918282,0.006198933,0.49375,85.45013015,0
2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000,20100,Petrol,Mumbai,14,6,1,0,2.25E-06,4.98E-05,0.166666667,0.071428571,0.136779282,0.016977419,0.059821429,138.9148796,0
2012,Maruti Suzuki,Maruti Suzuki A-Star Vxi,A-Star,275000,46646,Petrol,Mumbai,32,9,0,0,3.64E-06,2.14E-05,0.111111111,0.03125,0.223973294,0.007063414,0.019140625,30.28077815,0
2014,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1875000,49000,Diesel,Mumbai,10,7,0,0,5.33E-07,2.04E-05,0.142857143,0.1,0.029205807,0.006702789,0.08875,17.37373149,0
2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000,32000,Diesel,Mumbai,2,3,0,0,1.82E-07,3.13E-05,0.333333333,0.5,0.007142303,0.010499114,0.49375,37.02524898,0
2020,BMW,BMW X1 sDrive20i SportX,X1,3500000,5550,Petrol,Mumbai,4,1,1,1,2.86E-07,0.00018018,1,0.25,0.013663535,0.06264778,0.240625,205.9726342,205.9726342
2010,BMW,BMW Z4 Roadster sDrive35i,Z4,2900000,48000,Petrol,Mumbai,4,11,0,0,3.45E-07,2.08E-05,0.090909091,0.25,0.017373892,0.006851664,0.240625,28.64401801,0
2016,Audi,Audi A3 35 TDI Premium,A3,1525000,31000,Diesel,Mumbai,10,5,0,0,6.56E-07,3.23E-05,0.2,0.1,0.036888746,0.010852092,0.08875,35.52840721,0
2012,Audi,Audi A4 1.8 TFSI Multitronic Premium Plus,A4,975000,61000,Petrol,Mumbai,10,9,0,0,1.03E-06,1.64E-05,0.111111111,0.1,0.060106418,0.005297014,0.08875,28.25662619,0
2014,BMW,BMW X3 xDrive-20d xLine,X3,2350000,65000,Diesel,Mumbai,4,7,0,0,4.26E-07,1.54E-05,0.142857143,0.25,0.02243945,0.004943768,0.240625,26.69383711,0
2010,Bentley,Bentley Continental Flying Spur W12,Continental,7600000,49000,Petrol,Mumbai,44,11,0,0,1.32E-07,2.04E-05,0.090909091,0.022727273,0.003988943,0.006702789,0.010511364,0.281042797,0
2014,Audi,Audi Q3 2.0 TDI quattro Premium Plus,Q3,1470000,78000,Diesel,Mumbai,10,7,0,0,6.80E-07,1.28E-05,0.142857143,0.1,0.038428693,0.004045934,0.08875,13.79884626,0
2010,Audi,Audi Q7 3.0 TDI quattro Premium,Q7,1550000,82000,Diesel,Mumbai,10,11,0,0,6.45E-07,1.22E-05,0.090909091,0.1,0.036224897,0.00382695,0.08875,12.30349042,0
2017,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2350000,24000,Petrol,Mumbai,2,4,1,1,4.26E-07,4.17E-05,0.25,0.5,0.02243945,0.014146563,0.49375,156.7365365,156.7365365
2013,Mercedes-Benz,Mercedes-Benz E-Class E350 Cabriolet,E-Class,3850000,6000,Petrol,Mumbai,2,8,1,0,2.60E-07,0.000166667,0.125,0.5,0.012033227,0.057915954,0.49375,344.1021954,0
2016,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2000000,33000,Petrol,Mumbai,2,5,0,0,5.00E-07,3.03E-05,0.2,0.5,0.027113578,0.010167527,0.49375,136.1160343,0
2014,Audi,Audi Q7 35 TDI Technology Pack,Q7,2250000,107000,Diesel,Mumbai,10,7,0,0,4.44E-07,9.35E-06,0.142857143,0.1,0.02362653,0.002829244,0.08875,5.932512131,0
2015,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2125000,71000,Diesel,Mumbai,4,6,0,0,4.71E-07,1.41E-05,0.166666667,0.25,0.025267494,0.004488528,0.240625,27.290209,0
2015,Mercedes-Benz,Mercedes-Benz E-Class E350 CDI Avantgarde,E-Class,1900000,94000,Diesel,Mumbai,2,6,0,0,5.26E-07,1.06E-05,0.166666667,0.5,0.028765338,0.00328182,0.49375,46.61131734,0
2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1250000,55000,Petrol,Mumbai,2,9,0,0,8.00E-07,1.82E-05,0.111111111,0.5,0.045943638,0.005923223,0.49375,134.3663573,0
2013,Audi,Audi A4 2.0 TDI (143bhp),A4,1150000,79000,Diesel,Mumbai,10,8,0,0,8.70E-07,1.27E-05,0.125,0.1,0.050310029,0.003989109,0.08875,17.81143211,0
2014,Audi,Audi A6 2.0 TDI Premium Plus,A6,1550000,71000,Diesel,Mumbai,10,7,0,0,6.45E-07,1.41E-05,0.142857143,0.1,0.036224897,0.004488528,0.08875,14.43043663,0
2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1125000,65000,Petrol,Mumbai,2,9,0,0,8.89E-07,1.54E-05,0.111111111,0.5,0.051522915,0.004943768,0.49375,125.7666776,0
2018,Mercedes-Benz,Mercedes-Benz E-Class E 200,E-Class,4250000,34000,Petrol,Mumbai,2,3,0,0,2.35E-07,2.94E-05,0.333333333,0.5,0.01049882,0.009855446,0.49375,51.08858349,0
2013,Audi,Audi Q7 35 TDI Technology Pack,Q7,2175000,80000,Diesel,Mumbai,10,8,0,0,4.60E-07,1.25E-05,0.125,0.1,0.024588474,0.003933705,0.08875,8.584237221,0
2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,975000,67000,Petrol,Mumbai,2,11,0,0,1.03E-06,1.49E-05,0.090909091,0.5,0.060106418,0.004782962,0.49375,141.9465543,0
2009,BMW,BMW 7 Series 750Li Sedan,7,1850000,27000,Petrol,Mumbai,4,12,1,0,5.41E-07,3.70E-05,0.083333333,0.25,0.029658181,0.012525474,0.240625,89.38804394,0
2014,Audi,Audi A6 2.0 TDI Premium,A6,1650000,76000,Diesel,Mumbai,10,7,0,0,6.06E-07,1.32E-05,0.142857143,0.1,0.03377067,0.00416407,0.08875,12.48032982,0
2018,Ford,Ford Endeavour Titanium 2.2 4x2 AT,Endeavour,2900000,11100,Diesel,Thane,8,3,1,1,3.45E-07,9.01E-05,0.333333333,0.125,0.017373892,0.031102273,0.1140625,61.63567188,61.63567188
2006,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,175000,79915,Petrol,Thane,32,15,0,0,5.71E-06,1.25E-05,0.066666667,0.03125,0.35439795,0.00393836,0.019140625,26.71546611,0
2013,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,449000,67664,Diesel,Mumbai,32,8,0,0,2.23E-06,1.48E-05,0.125,0.03125,0.13552272,0.004731676,0.019140625,12.27391806,0
2016,Mahindra,Mahindra XUV500 W10 AT,XUV500,1275000,72000,Diesel,Mumbai,24,5,0,0,7.84E-07,1.39E-05,0.2,0.041666667,0.04495906,0.004420031,0.0296875,5.899513487,0
2018,BMW,BMW X1 sDrive20d Expedition,X1,2500000,33500,Diesel,Dehradun,4,3,0,0,4.00E-07,2.99E-05,0.333333333,0.25,0.020836892,0.010009158,0.240625,50.18468564,0
2016,BMW,BMW Z4 sDrive 35i,Z4,4850000,26700,Petrol,Dehradun,4,5,1,0,2.06E-07,3.75E-05,0.2,0.25,0.008671767,0.01267119,0.240625,26.44026196,0
2017,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3700000,45700,Diesel,Dehradun,40,4,0,0,2.70E-07,2.19E-05,0.25,0.025,0.012694163,0.007218804,0.0128125,1.174094821,0
2018,Jaguar,Jaguar XE Prestige Diesel,XE,3500000,23500,Diesel,Dehradun,40,3,1,1,2.86E-07,4.26E-05,0.333333333,0.025,0.013663535,0.014456984,0.0128125,2.530898145,2.530898145
2012,Lamborghini,Lamborghini Gallardo India Ltd Edition LP 550-2,Gallardo,12500000,14500,Petrol,Dehradun,45,9,1,0,8.00E-08,6.90E-05,0.111111111,0.022222222,0.000751494,0.023705395,0.01,0.178144731,0
2020,MINI,MINI Countryman Cooper S [2020-2021],Countryman,3850000,6517,Petrol,Dehradun,39,1,1,1,2.60E-07,0.000153445,1,0.025641026,0.012033227,0.053286263,0.013461538,8.631615288,8.631615288
2014,Mercedes-Benz,Mercedes-Benz C-Class C 200 Avantgarde,C-Class,2700000,22000,Petrol,Dehradun,2,7,1,0,3.70E-07,4.55E-05,0.142857143,0.5,0.018977133,0.015472908,0.49375,144.9805168,0
2017,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2900000,44000,Diesel,Dehradun,2,4,0,0,3.45E-07,2.27E-05,0.25,0.5,0.017373892,0.007514837,0.49375,64.46496971,0
2018,Audi,Audi A6 35 TDI Matrix,A6,3750000,22000,Diesel,Dehradun,10,3,1,1,2.67E-07,4.55E-05,0.333333333,0.1,0.012467976,0.015472908,0.08875,17.12128144,17.12128144
2015,BMW,BMW 7 Series 730Ld Eminence,7,3700000,66000,Diesel,Dehradun,4,6,0,0,2.70E-07,1.52E-05,0.166666667,0.25,0.012694163,0.004862146,0.240625,14.85158662,0
2015,BMW,BMW 7 Series 730Ld Prestige,7,3700000,48000,Diesel,Dehradun,4,6,0,0,2.70E-07,2.08E-05,0.166666667,0.25,0.012694163,0.006851664,0.240625,20.92863432,0
2013,BMW,BMW 7 Series 730Ld Sedan,7,2900000,59000,Diesel,Dehradun,4,8,0,0,3.45E-07,1.69E-05,0.125,0.25,0.017373892,0.005491598,0.240625,22.95813659,0
2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000,127000,Diesel,Dehradun,18,9,0,0,5.26E-07,7.87E-06,0.111111111,0.055555556,0.028765338,0.002313893,0.04375,2.911995821,0
2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000,19500,Diesel,Dehradun,18,3,1,1,2.04E-07,5.13E-05,0.333333333,0.055555556,0.00853971,0.017513439,0.04375,6.543236211,6.543236211
2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000,29500,Diesel,Dehradun,18,3,1,1,2.08E-07,3.39E-05,0.333333333,0.055555556,0.008806576,0.011426431,0.04375,4.402463164,4.402463164
2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000,56500,Diesel,Dehradun,2,5,0,0,1.75E-07,1.77E-05,0.2,0.5,0.006741876,0.005754202,0.49375,19.1545938,0
2015,Renault,Renault Lodgy 110 PS RxL [2015-2016],Lodgy,565000,85400,Diesel,Mumbai,15,6,0,0,1.77E-06,1.17E-05,0.166666667,0.066666667,0.106821943,0.003656943,0.055,21.48529577,0
2013,Honda,Honda City 1.5 V MT,City,418000,98602,Petrol,Mumbai,7,8,0,0,2.39E-06,1.01E-05,0.125,0.142857143,0.145890112,0.003107963,0.132142857,59.91634992,0
2016,Mercedes-Benz,Mercedes-Benz CLA 200 Petrol Sport,CLA,2150000,28000,Petrol,Mumbai,2,5,1,0,4.65E-07,3.57E-05,0.2,0.5,0.024924036,0.012062306,0.49375,148.4416689,0
2021,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,2095000,7500,Diesel,Mumbai,14,0,1,1,4.77E-07,0.000133333,inf,0.071428571,0.025690463,0.046244117,0.059821429,71.06981738,71.06981738
2016,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3750000,33000,Diesel,Mumbai,40,5,0,0,2.67E-07,3.03E-05,0.2,0.025,0.012467976,0.010167527,0.0128125,1.624221232,0
2021,Hyundai,Hyundai Creta SX (O) 1.4 Turbo 7 DCT Dual Tone,Creta,2050000,4500,Petrol,Mumbai,14,0,1,1,4.88E-07,0.000222222,inf,0.071428571,0.026348129,0.077369017,0.059821429,121.9477057,121.9477057
2015,BMW,BMW 3 Series 320d Luxury Line,3,1825000,65000,Diesel,Mumbai,4,6,0,0,5.48E-07,1.54E-05,0.166666667,0.25,0.030122948,0.004943768,0.240625,35.83408171,0
2008,Audi,Audi Q7 3.0 TDI quattro,Q7,850000,84500,Diesel,Mumbai,10,13,0,0,1.18E-06,1.18E-05,0.076923077,0.1,0.069573517,0.003700613,0.08875,22.84999095,0
2011,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1650000,55000,Diesel,Mumbai,2,10,0,0,6.06E-07,1.82E-05,0.1,0.5,0.03377067,0.005923223,0.49375,98.76540287,0
2012,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1350000,99000,Diesel,Mumbai,10,9,0,0,7.41E-07,1.01E-05,0.111111111,0.1,0.04222412,0.003093686,0.08875,11.59325065,0
2012,Audi,Audi A8 L 3.0 TDI quattro,A8,2750000,25000,Diesel,Mumbai,10,9,1,0,3.64E-07,4.00E-05,0.111111111,0.1,0.01855446,0.013562971,0.08875,22.33425722,0
2011,BMW,BMW 7 Series 740Li Sedan,7,1650000,65000,Petrol,Mumbai,4,10,0,0,6.06E-07,1.54E-05,0.1,0.25,0.03377067,0.004943768,0.240625,40.17338975,0
2012,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1950000,71000,Diesel,Mumbai,2,9,0,0,5.13E-07,1.41E-05,0.111111111,0.5,0.027918282,0.004488528,0.49375,61.87279537,0
2013,Mercedes-Benz,Mercedes-Benz B-Class B180,B-Class,1050000,67000,Petrol,Mumbai,2,8,0,0,9.52E-07,1.49E-05,0.125,0.5,0.055508113,0.004782962,0.49375,131.087255,0
2007,BMW,BMW 3 Series 320d Sedan,3,425000,48000,Diesel,Mumbai,4,14,0,0,2.35E-06,2.08E-05,0.071428571,0.25,0.143416889,0.006851664,0.240625,236.4488007,0
2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000,56500,Diesel,Dehradun,2,5,0,0,1.75E-07,1.77E-05,0.2,0.5,0.006741876,0.005754202,0.49375,19.1545938,0
2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000,127000,Diesel,Dehradun,18,9,0,0,5.26E-07,7.87E-06,0.111111111,0.055555556,0.028765338,0.002313893,0.04375,2.911995821,0
2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000,19500,Diesel,Dehradun,18,3,1,1,2.04E-07,5.13E-05,0.333333333,0.055555556,0.00853971,0.017513439,0.04375,6.543236211,6.543236211
2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000,29500,Diesel,Dehradun,18,3,1,1,2.08E-07,3.39E-05,0.333333333,0.055555556,0.008806576,0.011426431,0.04375,4.402463164,4.402463164
2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,1050000,55000,Petrol,Mumbai,2,11,0,0,9.52E-07,1.82E-05,0.090909091,0.5,0.055508113,0.005923223,0.49375,162.3385358,0
2015,Mercedes-Benz,Mercedes-Benz A-Class A 180 CDI Style,A-Class,1375000,61000,Diesel,Mumbai,2,6,0,0,7.27E-07,1.64E-05,0.166666667,0.5,0.041378775,0.005297014,0.49375,108.2220697,0
2019,BMW,BMW X1 xDrive20d M Sport,X1,3499000,26000,Diesel,Mumbai,4,2,1,1,2.86E-07,3.85E-05,0.5,0.25,0.013668661,0.013024271,0.240625,42.83710631,42.83710631
2019,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,4975000,25000,Diesel,Mumbai,4,2,1,1,2.01E-07,4.00E-05,0.5,0.25,0.008346601,0.013562971,0.240625,27.23988139,27.23988139
2010,Toyota,Toyota Corolla Altis 1.8 G,Corolla,375000,46000,Petrol,Mumbai,1,11,0,0,2.67E-06,2.17E-05,0.090909091,1,0.163108454,0.007168834,1,1169.297391,0
2010,Audi,Audi Q5 2.0 TFSI quattro Premium Plus,Q5,999000,59000,Petrol,Mumbai,10,11,0,0,1.00E-06,1.69E-05,0.090909091,0.1,0.058559841,0.005491598,0.08875,28.54085762,0
2015,Land Rover,Land Rover Range Rover Evoque Dynamic SD4,Evoque,2600000,77000,Diesel,Mumbai,18,6,0,0,3.85E-07,1.30E-05,0.166666667,0.055555556,0.019871247,0.004104235,0.04375,3.568086697,0
2017,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1575000,60000,Diesel,Mumbai,1,4,0,0,6.35E-07,1.67E-05,0.25,1,0.035582124,0.005392685,1,191.8831669,0
2014,Toyota,Toyota Innova 2.5 EV PS 7 STR BS-IV,Innova,950000,91000,Diesel,Mumbai,1,7,0,0,1.05E-06,1.10E-05,0.142857143,1,0.06180053,0.003404624,1,210.4075843,0
2015,MINI,MINI Cooper Countryman Cooper D,Cooper,2500000,14000,Diesel,Mumbai,39,6,1,0,4.00E-07,7.14E-05,0.166666667,0.025641026,0.020836892,0.024567847,0.013461538,6.891197833,0
2017,Nissan,Nissan Terrano XL (P),Terrano,690000,21000,Petrol,Mumbai,11,4,1,1,1.45E-06,4.76E-05,0.25,0.090909091,0.086696618,0.01623082,0.079545455,111.9329556,111.9329556
2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2975000,12000,Diesel,Mumbai,8,4,1,1,3.36E-07,8.33E-05,0.25,0.125,0.016828251,0.02873636,0.1140625,55.1586505,55.1586505
2008,BMW,BMW 3 Series 325i Sedan,3,450000,70000,Petrol,Mumbai,4,13,0,0,2.22E-06,1.43E-05,0.076923077,0.25,0.135212069,0.004558982,0.240625,148.3283166,0
2016,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1090000,39000,Petrol,Mumbai,14,5,0,0,9.17E-07,2.56E-05,0.2,0.071428571,0.053314426,0.008535102,0.059821429,27.22138708,0
2012,BMW,BMW X3 xDrive20d,X3,1675000,59000,Diesel,Mumbai,4,9,0,0,5.97E-07,1.69E-05,0.111111111,0.25,0.033202901,0.005491598,0.240625,43.8748401,0
2014,Honda,Honda CR-V 2.4 AT,CR-V,1200000,108200,Petrol,Mumbai,7,7,0,0,8.33E-07,9.24E-06,0.142857143,0.142857143,0.048035867,0.00279295,0.132142857,17.72851933,0
2014,Land Rover,Land Rover Freelander 2 SE,Freelander,1950000,61000,Diesel,Mumbai,18,7,0,0,5.13E-07,1.64E-05,0.142857143,0.055555556,0.027918282,0.005297014,0.04375,6.469904019,0
2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXi (O) [2014-2015],Ciaz,575000,52000,Petrol,Mumbai,32,6,0,0,1.74E-06,1.92E-05,0.166666667,0.03125,0.104889912,0.006290518,0.019140625,12.62921215,0
2010,Chevrolet,Chevrolet Beat LT Petrol,Beat,115000,82000,Petrol,Mumbai,12,11,0,0,8.70E-06,1.22E-05,0.090909091,0.083333333,0.541528979,0.00382695,0.071875,148.9540685,0
2017,Toyota,Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],Innova,1760000,56089,Diesel,Thane,1,4,0,0,5.68E-07,1.78E-05,0.25,1,0.031393137,0.005799614,1,182.0680842,0
2014,Audi,Audi Q3 2.0 TDI quattro Premium,Q3,1650000,45095,Diesel,Thane,10,7,0,0,6.06E-07,2.22E-05,0.142857143,0.1,0.03377067,0.007321598,0.08875,21.94390635,0
2017,Mahindra,Mahindra KUV100 K6 D 5 STR,KUV100,575000,12321,Diesel,Thane,24,4,1,1,1.74E-06,8.12E-05,0.25,0.041666667,0.104889912,0.027976142,0.0296875,87.11544648,87.11544648
2017,Mahindra,Mahindra XUV500 W10 AT Black Interiors [2017],XUV500,1325000,67894,Diesel,Thane,24,4,0,0,7.55E-07,1.47E-05,0.25,0.041666667,0.043101365,0.004714145,0.0296875,6.032087196,0
2014,Renault,Renault Duster 110 PS RxZ AWD Diesel,Duster,625000,44835,Diesel,Thane,15,7,0,0,1.60E-06,2.23E-05,0.142857143,0.066666667,0.096157131,0.007366627,0.055,38.95945416,0
2013,Toyota,Toyota Fortuner 2.5 Sportivo 4x2 MT,Fortuner,1451000,118363,Diesel,Thane,1,8,0,0,6.89E-07,8.45E-06,0.125,1,0.038987806,0.002515081,1,98.05750765,0
2015,Hyundai,Hyundai i20 Active 1.2 SX,i20,525000,98877,Petrol,Thane,14,6,0,0,1.90E-06,1.01E-05,0.166666667,0.071428571,0.11528608,0.003098086,0.059821429,21.36619182,0
2019,Datsun,Datsun redi-GO T(O) 1.0,redi-GO,310000,41298,Petrol,Thane,50,2,0,0,3.23E-06,2.42E-05,0.5,0.02,0.198203906,0.008035509,0.00775,12.34318647,0
